move,TimeSincePlayBegan,down_number
WALL_MOVE,240,1
PASS_THROW,360,1
SPIN,60,1
PASS_THROW,120,2
WALL_MOVE,180,2
SPIN,120,1
PASS_THROW,300,1
PASS_THROW,180,3
SPIN,0,2pt
STIFF_ARM,60,2pt
WALL_MOVE,300,2pt
STIFF_ARM,0,2
PASS_THROW,120,1
WALL_MOVE,180,1
PASS_THROW,180,2pt
PASS_THROW,60,2
STIFF_ARM,240,2
WALL_MOVE,300,2
SPIN,300,2
JUKE,240,1
PASS_THROW,240,3
PASS_THROW,120,1
SPIN,0,2
SPIN,120,2pt
PASS_THROW,240,2pt
WALL_MOVE,300,2pt
SPIN,360,1
JUKE,420,1
PASS_THROW,480,1
SPIN,120,2
JUKE,180,2
WALL_MOVE,240,1
WALL_MOVE,420,1
PASS_THROW,120,2pt
PASS_THROW,180,1
PASS_THROW,360,2
PASS_THROW,480,3
JUKE,300,4
STIFF_ARM,240,2
PASS_THROW,300,2pt
JUKE,60,1
PASS_THROW,540,2
PASS_THROW,420,4
PASS_THROW,420,1
PASS_THROW,300,2
HURDLE,420,2
JUKE,480,1
PASS_THROW,180,1
PASS_THROW,180,1
